Timestep,DHW Node 1,DHW Node 2,DHW Node 3,DHW Node 4,DHW Node 5,DHW Discharge Vol [L],DHW Discharge Energy [kWh],DHW Charge Energy [kWh],,SH Node 1,SH Node 2,SH Node 3,SH Node 4,SH Node 5,SH Discharge Vol [L],SH Discharge Energy [kWh],SH Charge Energy [kWh]
8990.0,49.886122901005905,49.653993101638946,47.2280696086728,38.51821520717001,23.29309219856772,41.08,1.6698449444444445,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8991.0,49.80679967008476,49.60004063594954,47.165533170379014,38.41920866141923,23.467752952285213,0.92,0.03739672222222223,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8992.0,49.70086747873939,49.34969965589991,46.56220545810148,37.48379677199677,22.096708717367097,24.0,0.9755666666666667,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8993.0,49.62310525293919,49.303770975890494,46.52227339308442,37.424542773449254,22.395518656086473,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8994.0,49.52393666038421,49.12515037557579,46.142005167201255,36.858763362205,21.795284755213025,14.07,0.5719259583333334,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8995.0,49.44521848903301,49.070548508475746,46.08017796109909,36.77018780104829,22.05211242337348,0.93,0.03780320833333334,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8996.0,49.36654012230002,49.013964718391996,46.01325398277751,36.675581924249116,22.281566614741593,1.14,0.04633941666666666,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8997.0,51.0,50.893095420311944,48.37173040386724,47.371420403129996,22.79355429959182,0.86,0.034957805555555554,7.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8998.0,50.91571694716324,50.81073787127301,48.31608005622409,47.01639375722582,22.792428895903083,4.0,0.16259444444444446,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8999.0,50.8336014668782,50.76166612331621,48.27237495708982,46.89758086032816,23.056023207616928,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9000.0,50.75131330039313,50.69910339685225,48.22245854497026,46.685323698190864,23.193699104157762,1.66,0.06747669444444444,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9001.0,50.66738930436424,50.582577456678095,48.140686455443564,46.10161995368973,22.873568496628202,8.34,0.3390094166666667,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
9002.0,50.585834976204566,50.52595560875705,48.09185355783762,45.93326313206815,23.066066854897308,1.0,0.040648611111111115,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
