Timestep,Combined Electrical Input [kWh],DHW Electrical Input [kWh],SH Electrical Input [kWh],Combined Thermal Charge [kWhth],DHW Thermal Charge [kWhth],SH Thermal Charge [kWhth],DHW SOC [kWhth],SH SOC [kWhth],PV Generation [kWh],Net Wind Generation [kWh],PV Used [kWh],Wind Used [kWh],Grid Used [kWh],Electricity Cost [£],PV Cost [£],Wind Cost [£],Grid Cost [£]
3437.0,0.0,0.0,0.0,0.0,0.0,0.0,26.566779156444785,17.527155313873585,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3438.0,0.0,0.0,0.0,0.0,0.0,0.0,20.41857257732944,17.16617969115128,0.353187362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3439.0,0.0,0.0,0.0,0.0,0.0,0.0,20.389396756506002,17.01281691380783,0.286600006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3440.0,0.0,0.0,0.0,0.0,0.0,0.0,20.34904619638976,15.884076405603773,0.30153722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3441.0,0.0,0.0,0.0,0.0,0.0,0.0,20.311892438287785,15.151404227701086,0.19175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3442.0,0.0,0.0,0.0,0.0,0.0,0.0,20.242389939651687,10.593352802034646,0.109141251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3443.0,0.0,0.0,0.0,0.0,0.0,0.0,20.196027570391024,9.818566600515261,0.068150002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3444.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,20.15515792017143,17.45999896614976,0.0,0.0,0.0,0.0,3.7777777777777777,1.1979333333333333,0.0,0.0,1.1979333333333333
3445.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,20.090592638255497,25.961985724821663,0.0,0.0,0.0,0.0,3.7777777777777777,1.1979333333333333,0.0,0.0,1.1979333333333333
3446.0,0.0,0.0,0.0,0.0,0.0,0.0,19.896061601921108,24.761612083168192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3447.0,0.0,0.0,0.0,0.0,0.0,0.0,19.837400004399232,22.960894812944556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3448.0,0.0,0.0,0.0,0.0,0.0,0.0,19.755367961539434,18.150206334739693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3449.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69892611647524,17.395644725374865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3450.0,0.0,0.0,0.0,0.0,0.0,0.0,19.643522164445773,16.64238057732169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3451.0,0.0,0.0,0.0,0.0,0.0,0.0,19.58195160433705,16.492305608074897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3452.0,0.0,0.0,0.0,0.0,0.0,0.0,19.42282762826352,16.13029264204298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3453.0,0.0,0.0,0.0,0.0,0.0,0.0,19.395425511682912,15.425835796605545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3454.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3688579617221,15.066018438950504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3455.0,0.0,0.0,0.0,0.0,0.0,0.0,19.342365753061937,14.910225067656288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3456.0,0.0,0.0,0.0,0.0,0.0,0.0,19.315948658450754,14.41461398206564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3457.0,0.0,0.0,0.0,0.0,0.0,0.0,19.289606451359305,10.807814955153763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3458.0,0.0,0.0,0.0,0.0,0.0,0.0,19.24964597809651,10.653615597189887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3459.0,0.0,0.0,0.0,0.0,0.0,0.0,19.219908446045547,10.541130487863583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3460.0,0.0,0.0,0.0,0.0,0.0,0.0,19.19382854122868,10.409377993277726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3461.0,0.0,0.0,0.0,0.0,0.0,0.0,13.072586572405452,10.298241155517047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3462.0,0.0,0.0,0.0,0.0,0.0,0.0,13.053022471370285,10.026453988579583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3463.0,0.0,0.0,0.0,0.0,0.0,0.0,13.033518123719071,9.915994446119244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3464.0,0.0,0.0,0.0,0.0,0.0,0.0,13.014073337603213,9.639572586129576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3465.0,0.0,0.0,0.0,0.0,0.0,0.0,12.994687921813657,9.07014768123768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3466.0,0.0,0.0,0.0,0.0,0.0,0.0,12.975361685778724,8.83582941280269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3467.0,0.0,0.0,0.0,0.0,0.0,0.0,12.956094439561921,4.819837866030946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3468.0,0.0,0.0,0.0,0.0,0.0,0.0,12.936885993859766,4.250437317822655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3469.0,0.0,0.0,0.0,0.0,0.0,0.0,12.917736159999619,3.705608080082621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3470.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,12.887369680298471,11.253136436881059,0.004522222,0.0,0.004522222,0.0,3.773255555777778,1.3610132789690446,0.0,0.0,1.3610132789690446
3471.0,3.7777777777777777,0.0,3.7777777777777777,8.5,0.0,8.5,12.800229591428021,17.509645996981664,0.054549999,0.0,0.054549999,0.0,3.723227778777778,1.3429682598051447,0.0,0.0,1.3429682598051447
3472.0,2.692307692307692,2.692307692307692,0.0,7.0,7.0,0.0,12.615783043449158,15.503568180368593,0.124966528,0.0,0.124966528,0.0,2.567341164307692,0.9260399579657846,0.0,0.0,0.9260399579657846
